列车名称,总车厢数,识别正确数,参与统计数,准确率(%),统计时间
20250915071121,14,14,14,100.00,2025-09-15 14:52:17
20250915023923,47,45,47,95.74,2025-09-15 14:52:17
20250915011538,54,54,54,100.00,2025-09-15 14:52:17
20250914223456,5,5,5,100.00,2025-09-15 14:52:17
20250914205408,45,45,45,100.00,2025-09-15 14:52:17
20250914144113,41,39,40,97.50,2025-09-15 14:52:18
20250914131155,52,49,49,100.00,2025-09-15 14:52:18
20250914053812,46,46,46,100.00,2025-09-15 14:52:18
20250914025851,48,45,48,93.75,2025-09-15 14:52:18
20250914015606,52,38,52,73.08,2025-09-15 14:52:19
20250913233648,50,50,50,100.00,2025-09-15 14:52:19
20250913193011,50,48,50,96.00,2025-09-15 14:52:19
20250913141814,3,3,3,100.00,2025-09-15 14:52:19
20250913102353,24,16,22,72.73,2025-09-15 14:52:19
20250913033323,52,52,52,100.00,2025-09-15 14:52:20
20250913020602,4,4,4,100.00,2025-09-15 14:52:20
20250912213641,53,50,53,94.34,2025-09-15 14:52:20
20250912191641,27,25,27,92.59,2025-09-15 14:52:20
20250912173509,50,42,50,84.00,2025-09-15 14:52:20
20250912105417,54,54,54,100.00,2025-09-15 14:52:21
20250912011842,2,2,2,100.00,2025-09-15 14:52:21
20250911194943,32,30,30,100.00,2025-09-15 14:52:21
20250911172234,49,48,49,97.96,2025-09-15 14:52:21
20250911152108,49,49,49,100.00,2025-09-15 14:52:21
20250911135733,52,52,52,100.00,2025-09-15 14:52:22
20250911051918,3,3,3,100.00,2025-09-15 14:52:22
20250910143325,50,50,50,100.00,2025-09-15 14:52:22
20250910111030,48,48,48,100.00,2025-09-15 14:52:22
20250910065809,53,49,52,94.23,2025-09-15 14:52:22
20250910050406,40,40,40,100.00,2025-09-15 14:52:23
20250909104620,48,47,48,97.92,2025-09-15 14:52:23
20250909070836,47,47,47,100.00,2025-09-15 14:52:23
20250908232102,53,53,53,100.00,2025-09-15 14:52:23
20250908221201,49,43,49,87.76,2025-09-15 14:52:24
